"family","scientificName","commonName","catalogNumber","catalogCode","country","stateProvince","municipality","locality"
"EUPHORBIACEAE","Sebastiania brasiliensis Spreng.*","leiteiro-de-folha-fina",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"EUPHORBIACEAE","Sebastiania klotzschiana (Müll.Arg.) Müll.Arg.*","branquilla","41137,","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Acosmium subelegans (Mohlenbr.) Yakovlev","amendoim-falso",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Anadenanthera  colubrina  (Vell.)  Brenan  var.","angico-branco","41129,","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Anadenanthera peregrina var. falcata (Benth.) Altschul","angico-do-cerrado",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Bauhinia brevipes Vogel*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Bauhinia forficata Link*","unha-de-vaca",NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Bauhinia holophylla (Bong.) Steud.*","pata-de-vaca","41172","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Bauhinia longifolia (Bong.) Steud.",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Bauhinia sp.1",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Bauhinia sp.2",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Calliandra dysantha  Benth.*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Camptosema  scarlatinum  (Mart.  ex  Benth.) Burkart.*",NA,"41096","SPSF","Brazil","São Paulo","Itapeva","EEc Itapeva"
"FABACEAE","Cassia ferruginea (Schrad.) Schrad.ex  DC.*",NA,NA,NA,"Brazil","São Paulo","Itapeva","EEc Itapeva"
