Nome_UC,Estado,Municipio,Nome_Alternativo,Relação,Confiança,Observações,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,Reserva Municipal de Santa Genebra,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,"Fazenda Santa Genebra, Distrito de Barão Geraldo",Igual,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,"Fazenda Santa Genebra, Mata Higrófila. Borda da mata",,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,Campinas,"Fazenda Santa Genebra, Mata higrófila",,,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL INTERVALES,São Paulo,QUALQUER,Fazenda Intervales,Igual,Ouro,Parque Estadual Intervales - PETAR SP,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR,São Paulo,CAPÃO BONITO (SP) - ELDORADO (SP) - IPORANGA (SP) - JUQUIÁ (SP) - JUQUITIBA (SP) - MIRACATU (SP) - PEDRO DE TOLEDO (SP) - RIBEIRÃO GRANDE (SP) - SETE BARRAS (SP) - TAPIRAÍ (SP),Serra do Cafezal,Loc. dentro da UC,,"https://pt.wikipedia.org/wiki/Serra_do_Cafezal a wikipedia traz que a serra faz parte do ""Sistema serra do mar""
Está nela localizada a Rodovia BR 116, que ""atravessa ao todo oito (8) Unidades de Conservação
Ambiental, sendo quatro (4) Áreas de Proteção Ambiental - APAs, uma (1) Reserva de
Desenvolvimento Sustentável - RDS, um (1) Parque Estadual - PE no estado de São Paulo (APA
da Serra do Mar, Reserva de Desenvolvimento Sustentável Quilombola Barra do Turvo e o
Mosaico de Jacupiranga) e duas (2) Áreas de Proteção Ambiental - APAs no estado do Paraná
(APA do Iraí e de Guaraqueçaba), definidos como a área de influência direta do  empreendimento ""
https://www.gov.br/antt/pt-br/assuntos/rodovias/relatorios/acompanhamento-ambiental-das-concessoes-rodoviarias-1/por-concessao/acompanhamento-ambiental-autopista-regis-bittencourt-1/arquivos/pgr_regis_bittencourt_2023_rev2.pdf",,,,,,,,,,,,,,,,,,,,
RESERVA BIOLÓGICA ALTO DA SERRA,São Paulo,QUALQUER,Reserva Biológica do Alto da Serra de Paranapiacaba,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL PIRACICABA / JUQUERÍ-MIRIM ÁREA-I,São Paulo,Piracicaba,Serra do Cuscuzeiro,,Ouro,não consegui precisar a sobreposição entre as áreas,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL PIRACICABA / JUQUERÍ-MIRIM ÁREA-I,São Paulo,Analândia,Serra do Cuscuzeiro,,Ouro,não consegui precisar a sobreposição entre as áreas,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS,São Paulo,Campinas,Mata Ribeirão Cachoeira,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL ITUPARARANGA,São Paulo,Votorantim,Serra de São Francisco,UC dentro da loc.,,não consegui determinar a área da serra pra saber quanto dela fica pra fora da APA,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO MAR,São Paulo,Cunha,Reserva Florestal,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO MAR – NÚCLEO CUNHA,São Paulo,Cunha,Reserva Florestal,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA CHAUÁS,São Paulo,Iguape,Estação Ecológica de Chauás,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
Parque Estadual Jequitibá,São Paulo,São Paulo,Parque Tizo,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
Parque Estadual Jequitibá,São Paulo,Cotia,Parque Tizo,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
Parque Estadual Jequitibá,São Paulo,Osasco,Parque Tizo,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL CARLOS BOTELHO,São Paulo,QUALQUER,Carlos Botelho State Park,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE NACIONAL SERRA DA BOCAINA,São Paulo,QUALQUER,Parque Nacional da Bocaina,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO MAR – CAMINHOS DO MAR,São Paulo,São Bernardo do Campo,Parque Caminhos do Mar,,,,,,,,,,,,,,,,,,,,,,,
MONUMENTO NATURAL DO ARQUIPÉLAGO DAS ILHAS CAGARRAS,São Paulo,QUALQUER,MONUMENTO NATURAL DAS ILHAS CAGARRAS,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
RESERVA BIOLÓGICA MOGI-GUAÇU,São Paulo,Mogi-Guaçu,Estação Ecológica Mogi-Guaçu,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI,São Paulo,,Estrada para Itatinga,Intersecção,,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA PAULO DE FARIA,São Paulo,Paulo de Faria,Instituto Florestal,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA JURÉIA-ITATINS,São Paulo,,Estação Biológica de Juréia,,,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO MAR,São Paulo,São Luis do Paraitinga,PE Serra do Ma,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
RESERVA BIOLÓGICA ALTO DA SERRA,São Paulo,,Estação Biológica,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA PAULO DE FARIA,São Paulo,Paulo de Faria,E.Ecol.Instituto Florestal,,,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR,São Paulo,Ubatuba,Praia da Fazenda,Loc. dentro da UC,Ouro,Núcleo Picinguaba,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL JUQUERY,São Paulo,QUALQUER,Parque Estadual do Juqueri,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE NATURAL MUNICIPAL AUGUSTO RUSCHI,São Paulo,,Reserva Florestal da Boa Vista,Igual,Ouro,https://www.sjc.sp.gov.br/servicos/urbanismo-e-sustentabilidade/parque-natural-augusto-ruschi/informacoes/,,,,,,,,,,,,,,,,,,,,
PARQUE NACIONAL SERRA DA BOCAINA,São Paulo,,Estrada Real Cunha-Paraty,Intersecção,Bronze,"A estrada de Cunha a Paraty tem 46km de extensão, dos quais 9,4km são de estrada-parque
https://documentacao.socioambiental.org/ato_normativo/UC/1704_20141002_172253.pdf",,,,,,,,,,,,,,,,,,,,
Estação Ecológica Juréia-Itatins,São Paulo,QUALQUER,Serra da Jureia,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
FLORESTA NACIONAL IPANEMA,São Paulo,,Fazenda Ipanema,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL FONTES DO IPIRANGA,São Paulo,QUALQUER,Jardim Botânico de São Paulo,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATA DE SANTA GENEBRA,São Paulo,QUALQUER,Santa Genebra Forest Reserve,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE NACIONAL SERRA DA BOCAINA,São Paulo,São José do Barreiro,Parque Nacional,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO MAR,São Paulo,,Estação Ecológica de Boracéia,Loc. dentro da UC,Ouro,"Mais especificamente, está no PNSM - Núcleo Dória",,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL RESTINGA DE BERTIOGA,São Paulo,,Fazenda da Família Pinto,Intersecção,,Não há informações para afirmar a área de intersecção entre a fazenda e o parque,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA ITAPEVA,São Paulo,,Estrada Itararé-Itapeva,Disjunto,Zero,Delimita seu entorno,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO MAR,São Paulo,,Pico do Corcovado,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO MAR,São Paulo,,Estrada do Paraibuna,Intersecção,,"Núcleo Cunha
Aparentemente os 20km iniciais (zona de amortecimendo) são a estrada que leva até o parque e não é considerada parte dele, mas o site de Áreas Protegidas traz a extensão completa da estrada como parte do Parque Serra do Mar Núcleo Cunha
https://guiadeareasprotegidas.sp.gov.br/trilha/rota-paraibuna-parque-estadual/",,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA SANTA BÁRBARA,São Paulo,,Estação Ecológica de Águas de Santa Bárbara,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL SERRA DO MAR,São Paulo,,Serra de Paranapiacaba,Intersecção,Ouro,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA ASSIS,São Paulo,Assis,Estação Ecológica,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CAMPINAS,São Paulo,,Condomínio Colinas do Atibaia,Loc. dentro da UC,,https://portal-adm.campinas.sp.gov.br/sites/default/files/secretarias/arquivos-complementares/142/2024/01/04-160806/resumo-executivo.pdf,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA MOGI-GUAÇU,São Paulo,Mogi Guaçu,Reserva Florestal,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
RESERVA BIOLÓGICA MOGI-GUAÇU,São Paulo,Mogi Guaçu,Reserva Florestal,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA MOGI-GUAÇU,São Paulo,QUALQUER,Fazenda Campininha just north of Rio Moji-Guaçu,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
RESERVA BIOLÓGICA MOGI-GUAÇU,São Paulo,QUALQUER,Fazenda Campininha just north of Rio Moji-Guaçu,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
RESERVA BIOLÓGICA MOGI-GUAÇU,São Paulo,,Reserva Biológica da Fazenda Campininha,,,,,,,,,,,,,,,,,,,,,,,
RESERVA BIOLÓGICA MOGI-GUAÇU,São Paulo,,Reserva Biológica Campininha,,,,,,,,,,,,,,,,,,,,,,,
RESERVA BIOLÓGICA MOGI-GUAÇU,São Paulo,,"""Padua Sales, Fazenda Campininha""",,,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA MOGI-GUAÇU,São Paulo,,"""Padua Sales, Fazenda Campininha""",,,,,,,,,,,,,,,,,,,,,,,
,São Paulo,,"Fazenda Campininha, Martinho Prado, Reserva Biológica da Fazenda Campininha",,,,,,,,,,,,,,,,,,,,,,,
,São Paulo,,Reserva da Fazenda Campininha,,,,,,,,,,,,,,,,,,,,,,,
,São Paulo,,of property line of Fazenda Campininha,,,,,,,,,,,,,,,,,,,,,,,
,São Paulo,,from entrance of Fazenda Campininha,,,,,,,,,,,,,,,,,,,,,,,
Parque Nacional da Serra da Bocaina,São Paulo,Cunha,Estrada Real,Intersecção,Bronze,"Aprox 37% do trecho intersecciona com o Parque, na descida para Paraty",,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL SERRA DO MAR,São Paulo,Cunha,Estrada Real,Intersecção,Bronze,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CUESTA CORUMBATAÍ,São Paulo,QUALQUER,Parque Rauvitscher,Loc. dentro da UC,Ouro,"Dentro da Fazenda Vermelha, na área rural de Analândia",,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL PIRACICABA / JUQUERÍ-MIRIM ÁREA-I,São Paulo,QUALQUER,Parque Rauvitscher,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
ÁREA DE PROTEÇÃO AMBIENTAL CUESTA GUARANI,São Paulo,,Fazenda Santa Terezinha (Eucatex),,,"Talvez esteja dentro, não consegui precisar",,,,,,,,,,,,,,,,,,,,
PARQUE ESTADUAL FONTES DO IPIRANGA,São Paulo,,Horto Botânico,Loc. dentro da UC,Ouro,,,,,,,,,,,,,,,,,,,,,
Parque Estadual do Morro Grande,,,Morro Grande,Igual,Ouro,,,,,,,,,,,,,,,,,,,,,''''''
Parque Nacional da Serra da Bocaina,São Paulo,,Reserva Florestal da Bocaina,Loc. dentro da UC,,,,,,,,,,,,,,,,,,,,,,
ESTAÇÃO ECOLÓGICA BANANAL,São Paulo,,Reserva Florestal da Bocaina,Loc. dentro da UC,,,,,,,,,,,,,,,,,,,,,,
Parque Estadual da Serra do Mar,São Paulo,,Reserva Florestal da Bocaina,Loc. dentro da UC,,,,,,,,,,,,,,,,,,,,,,
