Origin Image,Barcode,Herbarium of Origin,Associated duplicates in Virtual Herbarium,Indicated duplicates the voucher specimen,Rank:,Scientific Name,"Determination qualifier (cf., aff. ou !)",Family,Genus,Species,subsp./var./forma,Author of Taxon,Determiner,Determination Date ,Type,Collector,Other Collectors,Collection Number,From:,To:,Plant description,Country,State,City,Description of Location,Elevation Minimum,Elevation Maximum,Measurement unit,Latitude Minimum,Latitude Maximum,Longitude Minimum,Longitude Maximum,Comments,Updated by,Updated
PMSP,PMSP00001221,PMSP,,,Species,FABACEAE Ceratonia siliqua L.,,Fabaceae,Ceratonia,siliqua,,L.,V.C. Souza,--/--/1988,no,M.O. Pedraz,"G. Hashimoto,S. Honda,J.H. Mitsuiki",,29/12/1987,,"Arvoreta, 3 m alt., 7 cm DAP; pedúnculos róseos, flores com filetes róseos; frutos imaturos verdes e maduros negro-arroxeados.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001243,PMSP,,,Species,FABACEAE Chamaecrista nictitans (L.) Moench,,Fabaceae,Chamaecrista,nictitans,,(L.) Moench,"J.P. Souza, V.R. Scalon",--/08/1999,no,M.M.A. Oliveira,,,14/02/1988,,"Arbusto, nectários extra-florais, flores, frutos imaturos, visitada por formigas.",Brasil,São Paulo,São Manoel,,,,METRO,,,,,,,
PMSP,PMSP00001250,PMSP,,,Species,FABACEAE Poecilanthe parviflora Benth.,,Fabaceae,Poecilanthe,parviflora,,Benth.,R.J.F. Garcia,--/05/2008,no,P. Bahia,,,30/12/1899,,Frutos.,Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001253,PMSP,,,Species,FABACEAE Senna macranthera (DC. ex Collad.) H.S.Irwin & Barneby,,Fabaceae,Senna,macranthera,,(DC. ex Collad.) H.S.Irwin & Barneby,V.C. Souza,--/--/1999,no,M.O. Pedraz,,,01/03/1988,,"Árvore, 5 m alt., 20 cm DAP; flores amarelas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001264,PMSP,,,Species,FABACEAE Anadenanthera peregrina (L.) Speg.,,Fabaceae,Anadenanthera,peregrina,,(L.) Speg.,J.Y.Tamashiro,--/02/1998,no,P. Bahia,,,27/02/1984,,"Árvore, 12 - 15 m alt.; fruto. Doação de Priscila Bahia.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001277,PMSP,,,Species,FABACEAE Senna pendula (Humb. & Bonpl. ex Willd.) H.S.Irwin & Barneby,,Fabaceae,Senna,pendula,,(Humb. & Bonpl. ex Willd.) H.S.Irwin & Barneby,G.O. Romão,14/07/1998,no,S. Honda,,,08/04/1988,,"Arvoreta, 3 m alt.; flores amarelas, estames pardos.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001310,PMSP,,,Species,FABACEAE Senna alata (L.) Roxb.,,Fabaceae,Senna,alata,,(L.) Roxb.,S. Honda 04/05/1988/ G.O. Romão,14/08/1998,no,G.M. Ferrari,"M.O. Pedraz,L.F. Sanfilippo",,04/05/1988,,"Arvoreta, 3 m alt., 15 cm DAP; inflorescências amarelas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001346,PMSP,,,Species,FABACEAE Erythrina speciosa Andrews,,Fabaceae,Erythrina,speciosa,,Andrews,No determiner,,no,M.S.F. Carneiro,"M.O. Pedraz,S.M.S. Almeida",,14/10/1988,,"Árvore,  7 m alt., 30 cm DAP, sem folhas; flores vermelhas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001537,PMSP,,,Species,FABACEAE Senna alata (L.) Roxb.,,Fabaceae,Senna,alata,,(L.) Roxb.,S. Honda (28/02/1994)/ V.C. Souza,--/--/1999,no,R. Guedes,,,28/02/1994,,"Árvore, 3-4 m alt.; flores amarelas; vagens aladas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,Provinda de Peruíbe.,,
PMSP,PMSP00001383,PMSP,,,Species,FABACEAE Senna multijuga (Rich.) H.S.Irwin & Barneby,,Fabaceae,Senna,multijuga,,(Rich.) H.S.Irwin & Barneby,V.C. Souza,--/--/1999,no,R.J.F. Garcia,S. Honda,,02/05/1990,,"Arbusto, 2 m alt., frutos verdes, parasitado por erva-de-passarinho.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001433,PMSP,,,Species,FABACEAE Senna multijuga (Rich.) H.S.Irwin & Barneby,,Fabaceae,Senna,multijuga,,(Rich.) H.S.Irwin & Barneby,V.C. Souza,--/--/1999,no,S. Honda,,,04/11/1992,,"Árvore, 8 m alt.",Brasil,São Paulo,Cotia,,,,METRO,,,,,,,
PMSP,PMSP00001589,PMSP,,,Species,FABACEAE Senegalia martiusiana (Steud.) Seigler & Ebinger,,Fabaceae,Senegalia,martiusiana,,(Steud.) Seigler & Ebinger,S. Honda,02/04/2014,no,DEPAVE-5,,,23/07/1990,,"Árvore, 5-6 m alt.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001590,PMSP,,,Species,FABACEAE Andira anthelmia (Vell.) Benth.,,Fabaceae,Andira,anthelmia,,(Vell.) Benth.,W. Mantovani,--/11/1993,no,DEPAVE-5,,,23/07/1990,,"Árvore, 14-18 m alt., folíolos grabros e coriáceos; flores róseas.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,,,
PMSP,PMSP00001632,PMSP,,,Species,FABACEAE Mimosa incana (Spreng.) Benth.,,Fabaceae,Mimosa,incana,,(Spreng.) Benth.,A.P. Savassi Coutinho 2009/ !S. Honda,--/--/2016,no,S.A.P. Godoy,"L.L. Silva,D.L. Pereira,G.M.P. Ferreira",175,24/05/1994,,"Arvoreta, ca. 2,5 m alt.; glomérulos com flores de estames amarelo-esverdeados.",Brasil,São Paulo,São Paulo,,,,METRO,,,,,"Trilha 10, ca. 700 m.s.m. Antes da implantação do parque [Pq. Ecol. APA do Carmo]",,
